Bars,Bran,33,1.87,61.71
Cookies,Arrowroot,81,2.18,176.58
Bars,Carrot,77,1.77,136.29
Crackers,Whole Wheat,38,3.49,132.62
Bars,Carrot,40,1.77,70.8
Snacks,Potato Chips,114,1.68,191.52
Cookies,Arrowroot,224,2.18,488.32
Bars,Carrot,141,1.77,249.57
Crackers,Whole Wheat,32,3.49,111.68
Bars,Carrot,20,1.77,35.4
Cookies,Arrowroot,40,2.18,87.2
Cookies,Chocolate Chip,49,1.87,91.63
Crackers,Whole Wheat,46,3.49,160.54
Bars,Carrot,39,1.77,69.03
Snacks,Potato Chips,62,1.68,104.16
Bars,Carrot,90,1.77,159.3
Cookies,Arrowroot,103,2.18,224.54
Cookies,Oatmeal Raisin,32,2.84,90.88
Bars,Bran,66,1.87,123.42
Cookies,Oatmeal Raisin,97,2.84,275.48
Bars,Carrot,30,1.77,53.1
Snacks,Potato Chips,29,1.68,48.72
Bars,Carrot,92,1.77,162.84
Cookies,Arrowroot,139,2.18,303.02
Cookies,Oatmeal Raisin,29,2.84,82.36
Bars,Banana,30,2.27,68.1
Cookies,Chocolate Chip,36,1.87,67.32
Crackers,Whole Wheat,41,3.49,143.09
Bars,Carrot,44,1.77,77.88
Snacks,Potato Chips,29,1.68,48.72
Cookies,Arrowroot,237,2.18,516.66
Cookies,Chocolate Chip,65,1.87,121.55
Cookies,Arrowroot,83,2.18,180.94
Cookies,Arrowroot,32,2.18,69.76
Bars,Carrot,63,1.77,111.51
Snacks,Pretzels,29,3.15,91.35
Bars,Bran,77,1.87,143.99
Cookies,Oatmeal Raisin,80,2.84,227.2
Bars,Carrot,102,1.77,180.54
Crackers,Whole Wheat,31,3.49,108.19
Bars,Carrot,56,1.77,99.12
Cookies,Arrowroot,52,2.18,113.36
Bars,Carrot,51,1.77,90.27
Snacks,Potato Chips,24,1.68,40.32
Cookies,Arrowroot,58,2.18,126.44
Cookies,Chocolate Chip,34,1.87,63.58
Bars,Carrot,34,1.77,60.18
Snacks,Potato Chips,21,1.68,35.28
Cookies,Oatmeal Raisin,29,2.84,82.36
Bars,Carrot,68,1.77,120.36
Snacks,Pretzels,31,3.15,97.65
Cookies,Arrowroot,30,2.18,65.4
Cookies,Chocolate Chip,232,1.87,433.84
Bars,Bran,68,1.87,127.16
Cookies,Oatmeal Raisin,97,2.84,275.48
Bars,Bran,86,1.87,160.82
Snacks,Potato Chips,41,1.68,68.88
Bars,Carrot,93,1.77,164.61
Snacks,Potato Chips,47,1.68,78.96
Bars,Carrot,103,1.77,182.31
Snacks,Potato Chips,33,1.68,55.44
Bars,Bran,57,1.87,106.59
Cookies,Oatmeal Raisin,65,2.84,184.6
Bars,Carrot,118,1.77,208.86
Cookies,Arrowroot,36,2.18,78.48
Cookies,Oatmeal Raisin,123,2.84,349.32
Bars,Carrot,90,1.77,159.3
Crackers,Whole Wheat,21,3.49,73.29
Bars,Carrot,48,1.77,84.96
Snacks,Potato Chips,24,1.68,40.32
Cookies,Chocolate Chip,67,1.87,125.29
Bars,Bran,27,1.87,50.49
Cookies,Oatmeal Raisin,129,2.84,366.36
Cookies,Arrowroot,77,2.18,167.86
Cookies,Chocolate Chip,58,1.87,108.46
Bars,Bran,47,1.87,87.89
Cookies,Oatmeal Raisin,33,2.84,93.72
Cookies,Chocolate Chip,82,1.87,153.34
Bars,Carrot,58,1.77,102.66
Snacks,Pretzels,30,3.15,94.5
Cookies,Chocolate Chip,43,1.87,80.41
Bars,Carrot,84,1.77,148.68
Cookies,Arrowroot,36,2.18,78.48
Cookies,Oatmeal Raisin,44,2.84,124.96
Bars,Bran,27,1.87,50.49
Cookies,Oatmeal Raisin,120,2.84,340.8
Crackers,Whole Wheat,26,3.49,90.74
Bars,Carrot,73,1.77,129.21
Bars,Bran,38,1.87,71.06
Cookies,Oatmeal Raisin,40,2.84,113.6
Bars,Carrot,41,1.77,72.57
Bars,Banana,27,2.27,61.29
Cookies,Chocolate Chip,38,1.87,71.06
Crackers,Whole Wheat,34,3.49,118.66
Bars,Bran,65,1.87,121.55
Cookies,Oatmeal Raisin,60,2.84,170.4
Cookies,Arrowroot,37,2.18,80.66
Cookies,Chocolate Chip,40,1.87,74.8
Bars,Bran,26,1.87,48.62
Bars,Banana,22,2.27,49.94
Cookies,Chocolate Chip,32,1.87,59.84
Crackers,Whole Wheat,23,3.49,80.27
Cookies,Arrowroot,20,2.18,43.6
Cookies,Chocolate Chip,64,1.87,119.68
Bars,Carrot,71,1.77,125.67
Cookies,Arrowroot,90,2.18,196.2
Cookies,Oatmeal Raisin,38,2.84,107.92
Bars,Carrot,55,1.77,97.35
Snacks,Pretzels,22,3.15,69.3
Bars,Carrot,34,1.77,60.18
Bars,Bran,39,1.87,72.93
Cookies,Oatmeal Raisin,41,2.84,116.44
Bars,Carrot,41,1.77,72.57
Cookies,Arrowroot,136,2.18,296.48
Bars,Carrot,25,1.77,44.25
Snacks,Pretzels,26,3.15,81.9
Bars,Bran,50,1.87,93.5
Cookies,Oatmeal Raisin,79,2.84,224.36
Bars,Carrot,30,1.77,53.1
Snacks,Potato Chips,20,1.68,33.6
Bars,Carrot,49,1.77,86.73
Cookies,Arrowroot,40,2.18,87.2
Bars,Carrot,31,1.77,54.87
Snacks,Pretzels,21,3.15,66.15
Bars,Bran,43,1.87,80.41
Cookies,Oatmeal Raisin,47,2.84,133.48
Cookies,Arrowroot,175,2.18,381.5
Cookies,Chocolate Chip,23,1.87,43.01
Bars,Carrot,40,1.77,70.8
Cookies,Arrowroot,87,2.18,189.66
Bars,Carrot,43,1.77,76.11
Crackers,Whole Wheat,30,3.49,104.7
Bars,Carrot,35,1.77,61.95
Bars,Bran,57,1.87,106.59
Snacks,Potato Chips,25,1.68,42
Cookies,Chocolate Chip,24,1.87,44.88
Bars,Bran,83,1.87,155.21
Cookies,Oatmeal Raisin,124,2.84,352.16
Bars,Carrot,137,1.77,242.49
Cookies,Arrowroot,146,2.18,318.28
Cookies,Chocolate Chip,34,1.87,63.58
Bars,Carrot,20,1.77,35.4
Cookies,Arrowroot,139,2.18,303.02
Cookies,Chocolate Chip,211,1.87,394.57
Crackers,Whole Wheat,20,3.49,69.8
Bars,Bran,42,1.87,78.54
Cookies,Oatmeal Raisin,100,2.84,284
Bars,Carrot,38,1.77,67.26
Crackers,Whole Wheat,25,3.49,87.25
Cookies,Chocolate Chip,96,1.87,179.52
Cookies,Arrowroot,34,2.18,74.12
Cookies,Chocolate Chip,245,1.87,458.15
Crackers,Whole Wheat,30,3.49,104.7
Bars,Bran,30,1.87,56.1
Cookies,Oatmeal Raisin,44,2.84,124.96
Cookies,Oatmeal Raisin,44,2.84,124.96
